week,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,transmission_rate,case_fatality_rate,Country,people_fully_vaccinated
22,12540.285714285714,33235861.85714286,299.85714285714283,598849.1428571428,0.008891138746711045,0.42464865014856645,United States,0.12984177570417432
23,13869.285714285714,33328721.0,244.42857142857142,600762.8571428572,0.009803030923487636,0.42468188821602004,United States,0.13136918744194878
24,40973.71428571428,33480590.0,215.57142857142858,602294.8571428572,0.02887709799554799,0.4247007289447125,United States,0.13283309295650916
25,31841.285714285714,33771127.28571428,274.7142857142857,604011.5714285715,0.022397206414992227,0.42492915358229855,United States,0.13416780545297616
26,51351.71428571428,34058613.14285714,296.0,606006.1428571428,0.03604822592962196,0.4254922779974485,United States,0.13540821327067318
27,78227.28571428571,34515957.28571428,435.0,608549.8571428572,0.054764385842098764,0.4261464487952952,United States,0.13664653820244044
28,106209.57142857143,35170525.571428575,635.5714285714286,612342.1428571428,0.07403858323982693,0.426996361741284,United States,0.1379536153236123
29,126669.71428571429,36007228.85714286,799.8571428571429,617411.5714285715,0.08771485131532646,0.4276941583208426,United States,0.13954761886212935
30,145662.42857142858,36965364.85714286,1144.5714285714287,624153.0,0.09986486094874944,0.42810555833717584,United States,0.14150212555247998
31,156429.0,38024597.571428575,1448.142857142857,633357.1428571428,0.10586070504431098,0.42883149205963944,United States,0.14371946903488203
32,163389.42857142858,39148911.14285714,1659.5714285714287,644388.8571428572,0.1088620017638444,0.42956744344939285,United States,0.1458085979711856
33,145958.0,40225912.28571428,1719.0,656051.7142857143,0.0955767460457112,0.42985707972030684,United States,0.1476837765784573
34,147740.0,41269020.14285714,1931.7142857142858,669001.1428571428,0.09493656911207848,0.43006572622711614,United States,0.14966042563795343
35,121658.57142857143,42201529.428571425,1908.4285714285713,682364.4285714285,0.07667665338001457,0.430239669574686,United States,0.1513842179968182
36,108162.14285714286,42994189.85714286,1846.7142857142858,695600.5714285715,0.06691180352176909,0.43053988934839255,United States,0.15289021637552255
37,97335.0,43705734.85714286,1667.0,707702.5714285715,0.05916864995483725,0.43045377991127315,United States,0.15418238148661362
38,83127.42857142857,44335530.85714286,1490.142857142857,718705.1428571428,0.04981925819244998,0.43091477074172174,United States,0.15532011917437624
39,72786.57142857143,44879289.28571428,1578.142857142857,729572.1428571428,0.04310487202810579,0.43222469676141306,United States,0.1563270007645822
40,75118.14285714286,45373015.14285714,1274.857142857143,739154.4285714285,0.04402632792800176,0.4335303708144688,United States,0.15732872680845197
41,72714.42857142857,45896708.14285714,1054.0,747293.0,0.04223128569206158,0.4342809406889572,United States,0.1582792251609315
42,78921.85714285714,46420805.71428572,1072.2857142857142,754736.0,0.04538066911551925,0.43433321851682594,United States,0.15910204502787748
43,96569.28571428571,47048064.571428575,1465.4285714285713,763009.1428571428,0.05499811392374499,0.43479655075034696,United States,0.15993097630819098
44,84091.85714285714,47695963.85714286,808.1428571428571,772017.2857142857,0.047416622673417154,0.43544895468867123,United States,0.16074491323177062
45,106912.42857142857,48322662.85714286,1182.0,778443.4285714285,0.05955742427264906,0.43410427847344873,United States,0.16288956318790407
46,119079.85714285714,49147568.428571425,1225.7142857142858,786934.1428571428,0.06552616289079916,0.433326369306349,United States,0.16465512790482206
